,shannon,study_name
CSM7KOK3,3.3653391549799627,HMP_2019_ibdmdb
CSM79HJ2_P,2.5900709483427526,HMP_2019_ibdmdb
O2_UC26_0,2.65841533850233,NielsenHB_2014
HSM7CYX6,3.760485076197877,HMP_2019_ibdmdb
HSM7CYXA,3.2277945733283695,HMP_2019_ibdmdb
O2.UC20-1,3.6938332986643423,LiJ_2014
V1.UC59-0,2.8998424515398113,LiJ_2014
MSMA26BR,3.8899653854110157,HMP_2019_ibdmdb
CSM79HNE,2.0120818534777545,HMP_2019_ibdmdb
V1_UC47_0,4.346779663673721,NielsenHB_2014
CSM7KOKL_P,3.619115432513363,HMP_2019_ibdmdb
MSMA26AX,3.656912901951981,HMP_2019_ibdmdb
O2.UC43-1,2.927983551409914,LiJ_2014
CSM5MCUG_P,3.4108362391010334,HMP_2019_ibdmdb
HSM6XRQM,3.026258564663789,HMP_2019_ibdmdb
V1_UC11_0,3.399173665149942,NielsenHB_2014
MSM5LLI2_P,2.341851850141147,HMP_2019_ibdmdb
MSM9VZPH,3.163221540221558,HMP_2019_ibdmdb
CSM7KOKN,3.012916357710519,HMP_2019_ibdmdb
ESM718UH,3.02975220504886,HMP_2019_ibdmdb
MSM79H7O,3.352258120451605,HMP_2019_ibdmdb
MSMAPC5Z,4.451940711089309,HMP_2019_ibdmdb
CSM5MCWM_P,2.3450520037154883,HMP_2019_ibdmdb
HSM7J4LP,1.111419183433539,HMP_2019_ibdmdb
CSM79HMN,3.7953738263101364,HMP_2019_ibdmdb
HSM5MD6O_P,3.1107467661650547,HMP_2019_ibdmdb
MSMA26AP,3.5256553495355076,HMP_2019_ibdmdb
CSM79HKT,1.5928077521970725,HMP_2019_ibdmdb
O2.UC15-0,2.874272287693228,LiJ_2014
CSM79HGD_P,3.909520324342316,HMP_2019_ibdmdb
MSM79HCN_P,1.9018556319087683,HMP_2019_ibdmdb
MH0154,3.3149275328737424,NielsenHB_2014
MSM5LLGD_P,2.6510647292978287,HMP_2019_ibdmdb
HSMA33KS,4.166144639424928,HMP_2019_ibdmdb
CSM79HRC,3.419238756594023,HMP_2019_ibdmdb
MH0015,3.7630007266739978,NielsenHB_2014
O2_UC49_0,3.616598276626883,NielsenHB_2014
MSM79HBN,2.2572605129375787,HMP_2019_ibdmdb
HSM7J4PE,3.7493421579830306,HMP_2019_ibdmdb
PSM7J1AS,2.8139921131632404,HMP_2019_ibdmdb
CSM9X21N,3.0477206586823615,HMP_2019_ibdmdb
HSM7J4OB,3.6717951136498987,HMP_2019_ibdmdb
V1.CD4-0-PN,3.2506594293889126,LiJ_2014
ESM5MEC9,2.5023449074780464,HMP_2019_ibdmdb
HSM5MD6C,4.0183721985245535,HMP_2019_ibdmdb
HSM7J4JZ,3.275326648832829,HMP_2019_ibdmdb
MSM6J2LY,4.284985821134684,HMP_2019_ibdmdb
O2.UC8-0,3.802021334164127,LiJ_2014
CSM5MCUA_P,2.820346247311837,HMP_2019_ibdmdb
MH0125,4.182864468180122,NielsenHB_2014
MH0142,3.906496831161807,NielsenHB_2014
MSM5LLF2_P,3.648179338777408,HMP_2019_ibdmdb
HSM7J4J7,2.5824796178512015,HMP_2019_ibdmdb
O2_UC19_0,3.2411769975241964,NielsenHB_2014
PSM7J12R,2.0070572509723514,HMP_2019_ibdmdb
PSM7J18Q,3.3135851706507418,HMP_2019_ibdmdb
CSM5MCV5_P,3.3906394135626954,HMP_2019_ibdmdb
CSM7KOMR_P,3.9748332830528414,HMP_2019_ibdmdb
CSM9X1XU,2.8774418154702524,HMP_2019_ibdmdb
HSM7J4PY,3.2207771625144925,HMP_2019_ibdmdb
HSM7CZ14,1.41959456634551,HMP_2019_ibdmdb
HSMA33IE,3.323524799569472,HMP_2019_ibdmdb
MH0062,4.107599363164176,NielsenHB_2014
CSM79HOH,3.178525643205005,HMP_2019_ibdmdb
MSM6J2Q3,3.1515491246488083,HMP_2019_ibdmdb
MSM6J2QJ,3.518850814579246,HMP_2019_ibdmdb
MSM6J2QR,2.847457489000728,HMP_2019_ibdmdb
MH0030,2.9696986377945245,NielsenHB_2014
MSM6J2HD,1.8394653507181151,HMP_2019_ibdmdb
MSM9VZNH,4.25945692554809,HMP_2019_ibdmdb
MSM6J2RS,0.8854749655765178,HMP_2019_ibdmdb
HSM5MD5P,3.04939759593136,HMP_2019_ibdmdb
CSM9X222,3.639715279911216,HMP_2019_ibdmdb
MSM6J2IO,3.642725854380911,HMP_2019_ibdmdb
CSM79HIT,3.9966679872580992,HMP_2019_ibdmdb
PSM6XBSI,3.3089534553331896,HMP_2019_ibdmdb
CSM79HPK,1.3351382480603993,HMP_2019_ibdmdb
O2_UC34_0,2.0902826401835237,NielsenHB_2014
V1_CD7_4,3.7930852131991393,NielsenHB_2014
HSMA33PL,4.2360717172035836,HMP_2019_ibdmdb
PSM7J19H,3.271649296831978,HMP_2019_ibdmdb
PSMA2675,3.073109527899593,HMP_2019_ibdmdb
PSM7J13E,3.860961470195386,HMP_2019_ibdmdb
HSM6XRS8,2.675573087228826,HMP_2019_ibdmdb
MSMA26EJ,2.869091568329927,HMP_2019_ibdmdb
CSM67UAW,3.376232635083711,HMP_2019_ibdmdb
